,male
0,Bhaskarjit
1,Rijurekh
2,Dillu
3,Ravindra
4,Bachchu
5,Suriya
6,Padmanabha
7,Azaan
8,Arziyan
9,HariNand
10,Vaijayi
11,Aaroosh
12,Dhanya
13,Kiran
14,Ramratan
15,Arins
16,Neitik
17,Shyam
18,Amal
19,Ankana
20,Jadid
21,Ekansh
22,Rishan
23,Nikhilesh
24,Mischa
25,Rajkumar
26,Yahia
27,Onil
28,Riti
29,Dwiju
30,Neelam
31,Gangadutt
32,Soman
33,Navdeep
34,Bjay
35,Parijat
36,Shailen
37,Sompod
38,Aasutosh
39,Akadh
40,Ajit
41,Nityapriya
42,Bidyadhara
43,Namit
44,Venu
45,Krishnandu
46,Anoop
47,Banshilal
48,Biku
49,Maloy
50,Pratyay
51,Purav
52,Angad
53,Rajanikant
54,Rinve
55,Sonjib
56,Mahendra
57,Anonto
58,Debadutta
59,Sarvesh
60,Biswanth
61,Yom
62,Haris
63,Bitul
64,Samim
65,Niladri
66,Binodon
67,Kumar
68,Manoar
69,Kala
70,Ritan
71,Gangaram
72,Ulagarasan
73,Arkadev
74,Saukat
75,Vihaan
76,Anupam
77,Rahamat
78,Svarup
79,Bibin
80,Buddheswar
81,Adikavi
82,Jagdeo
83,Dahman
84,Nishith
85,Bachan
86,Shipra
87,Wasim
88,Dinanath
89,Amardeep
90,Mahaveer
91,Dheen
92,Saruar
93,Adarsh
94,Gojendra
95,Ahijit
96,Dandapani
97,Kamalbandhu
98,Maimun
99,Awab
100,Vishva
101,Mahabahu
102,Umakant
103,Mandal
104,Kounish
105,Tarek
106,Biju
107,Keshav
108,Ugresh
109,Satayu
110,Ahir
111,Mohul
112,Tapajit
113,HridayaNanda
114,Jian
115,Duraimurugan
116,Shlok
117,Shekhar
118,Byford
119,Bhimrao
120,Shrien
121,Nilkanta
122,Dhanvin
123,Chatresh
124,Dhirendranath
125,Taher
126,Tasheen
127,Alfaz
128,Ampit
129,Monir
130,Pallab
131,Sovik
132,Kopil
133,Ashtu
134,Pranav
135,Jitesh
136,Jayankar
137,Divyaan
138,Pravin
139,Probin
140,Savir
141,Rishin
142,Chotton
143,Trilokesh
144,Aijaz
145,Dalim
146,Lokpradeep
147,Pradum
148,Mrigendra
149,Debajoy
150,Somraj
151,Ukunda
152,Abilash
153,Sojib
154,Nandlal
155,Vikki
156,Biresh
157,Nannu
158,Vishvanaath
159,Indumat
160,Advayu
161,Nripendra
162,Hass
163,Ramisa
164,Vidya
165,Na
166,Kirit
167,Kattappa
168,Balaichand
169,Pretom
170,Ahnik
171,Siraz
172,Yamajit
173,Jahid
174,Niham
175,Saju
176,Shagor
177,Jagannath
178,Ashikur
179,Chandrodaya
180,Nizam
181,Arwa
182,Vishesh
183,Mridanga
184,Dhurjatiprasad
185,Monisankar
186,Abhighna
187,Ashraful
188,Pradhyun
189,Prabodh
190,Najmul
191,Debprosad
192,Lalmohan
193,Prokash
194,Ambili
195,Hiramba
196,Dipak
197,Debabrato
198,Poulami
199,Agra
200,Chandramohan
201,Babua
202,Manan
203,Anurag
204,Dhaibat
205,Rittick
206,Meyer
207,Rustam
208,Aranyak
209,Avi
210,Diganta
211,Piku
212,Chit
213,Anuran
214,Debsmit
215,Vikash
216,Ananyo
217,Nileema
218,Abhishek
219,Bhutan
220,Deepanth
221,Kamalanta
222,Virbhanu
223,Iraj
224,Sarojit
225,Veerendra
226,Dwijendra
227,Preethu
228,Saroj
229,Kausar
230,Pritin
231,Parves
232,Zinadin
233,Ruchir
234,Manamohan
235,Kanhaiya
236,Gobinda
237,Sohrab
238,Biprojit
239,Prosad
240,Jaivardhan
241,Reetam
242,Salman
243,Nihar
244,Saphal
245,ChandraSekhar
246,Anay
247,Saounak
248,Tapos
249,Morad
250,Purnayan
251,Kishor
252,Siba
253,Mrittunjoy
254,Adreeto
255,Sanchit
256,Pronay
257,Manomohan
258,Rudrangshu
259,Bishojit
260,Jameel
261,Prabir
262,Akash
263,Ishvara
264,Omar
265,Bippin
266,Esh
267,Kaling
268,Niamul
269,Trishanjit
270,Bivash
271,Subodh
272,Chhayank
273,Bisnukant
274,Grishm
275,Prithviraj
276,Akikul
277,Ridayansh
278,Joeonto
279,Priyangshu
280,Goswamee
281,Manjoy
282,Dyutiman
283,Ashok
284,Ritu
285,Tubai
286,Omkarnath
287,Diptimoy
288,Budhi
289,Sihab
290,Debankar
291,Indrojit
292,Prabhudev
293,Ranapratap
294,Adhir
295,Hirolal
296,Bebak
297,Aiush
298,Rishav
299,Mubassir
300,Vaishvik
301,Noyan
302,Pamposh
303,Forhad
304,Raghunath
305,Kuntal
306,Aurum
307,Nalinikanta
308,Veehan
309,Maheswara
310,Bharata
311,Emdadul
312,Naireet
313,Kesaba
314,Taibur
315,Kohinoor
316,Nilabrata
317,GorakhNaath
318,Charanjit
319,Om
320,Mrigank
321,Kalidas
322,Pulakesh
323,Sovon
324,Abhisek
325,Jabin
326,Ridhoy
327,Reet
328,Sabari
329,Ekatan
330,Giriraj
331,Sachit
332,Arif
333,Noni
334,Premendra
335,Ujjala
336,Shijit
337,Prajyaan
338,Debangshu
339,Adhrit
340,Brojeshwar
341,Pratham
342,Pranjan
343,Rishim
344,Rabiranjan
345,Bijal
346,Lakshan
347,Rain
348,Prajeet
349,Jayanth
350,Awal
351,Debashis
352,Debabrata
353,Kabir
354,Harinarayan
355,Sripan
356,Arijita
357,Samadip
358,Mehtar
359,Nazrul
360,Hemonto
361,Dibyansu
362,Rudranjan
363,Mohim
364,Nuha
365,Pradosh
366,Tohidul
367,Trilak
368,Anshu
369,Aaranyak
370,Gogula
371,Mangaldeep
372,Kesav
373,Bhadrik
374,Durga
375,Slok
376,Areen
377,Ujjal
378,Kabindra
379,Nandapal
380,Moneesh
381,Dhanes
382,Anik
383,Tamiliniyan
384,Boni
385,Riyan
386,Vedant
387,Jabed
388,Mura
389,Jujhar
390,Nokul
391,Afrid
392,Vitthal
393,Abhiraaj
394,Girisha
395,Sarhan
396,Mrinal
397,Aantarik
398,Vahin
399,Pravash
400,Gopal
401,Samidh
402,Nazibul
403,Gunindra
404,Swatik
405,Biswajith
406,Dipta
407,Sunay
408,Rajballabh
409,Eswar
410,Aumi
411,Gias
412,Avigan
413,Shoumo
414,Tridib
415,Debadittya
416,Arkadeep
417,Meghaj
418,Romanath
419,Sujosh
420,Prajval
421,Vatsar
422,Pritwish
423,Binush
424,Abhinna
425,Rabin
426,Ruthvik
427,Nilarnab
428,Barnali
429,Dibyadeep
430,Bibishan
431,Devay
432,Katyayan
433,Tahir
434,Eijaz
435,Moh
436,Halim
437,Mangalesh
438,Shafaat
439,Gaurango
440,Debranjan
441,Arham
442,Purno
443,Rochan
444,Vadivel
445,Athulya
446,Ojasvaan
447,Haro
448,Karthik
449,Ashmit
450,Mehir
451,Rebanta
452,Nirmallya
453,Orun
454,Prabudda
455,Sahin
456,Torun
457,Aninda
458,Aavish
459,Kanakesh
460,Rijvan
461,Nitan
462,Narendranath
463,Shaham
464,Prabhakar
465,Vinochan
466,Nilanta
467,Bhalchandra
468,Saikat
469,Emdad
470,Rupendra
471,Bhavesh
472,Nilotpal
473,Sujal
474,Sanju
475,Ritajit
476,Prasen
477,Vivekananda
478,Subrat
479,Jaydeb
480,Kapi
481,Debargha
482,Kamran
483,Babai
484,Devyansu
485,Charbak
486,Adya
487,Babu
488,Jatish
489,Saheek
490,Shakif
491,Himadhri
492,Bishwjit
493,Debodutta
494,Arha
495,Omor
496,Puneet
497,Maharshi
498,Dwipen
499,Parag
500,Akram
501,Hrishita
502,Suvan
503,Arunab
504,Kritik
505,Chandranath
506,Goutam
507,Sivaji
508,Prashtut
509,Suril
510,Agniv
511,Ridhan
512,Karunamoy
513,Bebo
514,Manatosh
515,Jibak
516,Kaushick
517,Varindra
518,Vidyut
519,Debojit
520,Falgu
521,Tanjim
522,Nityananda
523,Soumik
524,Yogie
525,Bijoi
526,Dibyaraj
527,Rasesh
528,Aadittya
529,Debjani
530,Priyan
531,Ekaansh
532,Rownok
533,Dhaneswor
534,Paramesh
535,Patanjal
536,Bihan
537,Giyandip
538,Mifzal
539,Amar
540,Kanti
541,Pramad
542,Boudhayan
543,Prittam
544,Rajyashree
545,Tirtho
546,Aniket
547,Bapon
548,Bhupad
549,Amarnath
550,Inban
551,Viraj
552,Rayyan
553,Arambh
554,Ipsit
555,Sankar
556,Trilochan
557,Param
558,Dheeraj
559,Soumen
560,Kailas
561,Harendra
562,Baldeb
563,Krishnan
564,Ranik
565,Akshath
566,Bappon
567,Summit
568,Hemraaj
569,Ravishu
570,Ekalabya
571,Nikhat
572,Shoel
573,Champabati
574,Ritvik
575,Bhava
576,Uzzal
577,Krithvi
578,Baadal
579,Gopichand
580,Hirdesh
581,Ajith
582,Prithyis
583,Depanshu
584,Shaifur
585,Debdutt
586,Debdut
587,Brigu
588,Sayhan
589,Snehes
590,Indronil
591,Nantu
592,Provakar
593,Somesh
594,Debojyotee
595,Harichand
596,Karan
597,Aspak
598,Sayan
599,Jaybrata
600,Rajesh
601,Sunjid
602,Mahek
603,Gangadhar
604,Raviraj
605,Ahsanul
606,Kamalakanta
607,Jayjit
608,Duttaprasad
609,Probal
610,Hana
611,Biswash
612,Ratul
613,Gajakarna
614,Mangal
615,Vibbodh
616,Devesh
617,Nirupom
618,Biplop
619,Ripam
620,Apurvo
621,Kripanshu
622,Mo
623,Sarthk
624,Suvo
625,Saad
626,Tamesh
627,Nilysh
628,Tawhid
629,Bondip
630,Elilchelvan
631,Annada
632,Kundan
633,Bhoben
634,Anish
635,Riyam
636,Ratnadeb
637,Monon
638,Abijit
639,Apurbo
640,Sibaya
641,Prathick
642,Rouf
643,Gunaakar
644,Kuldip
645,Munmun
646,Shawkat
647,Ushakanta
648,Udayabhanu
649,Mritunjoy
650,Keshob
651,Mihir
652,Sajjan
653,Anirvan
654,Nandeswar
655,Gopinath
656,Pushpajit
657,Sanu
658,Anvi
659,Drivansh
660,Bhupinder
661,Rutvik
662,Jairam
663,Rajnnesh
664,Ashir
665,Yushan
666,Nirmal
667,Piash
668,Parviz
669,Yogesh
670,Rafan
671,Pronoy
672,Pintu
673,Bhargab
674,Sentu
675,Shuvra
676,Biddyut
677,Yiyakshu
678,Debajit
679,Saish
680,Anu
681,Prashanta
682,Priyaranjan
683,Nabendu
684,Prajesh
685,Hyash
686,Shemul
687,Shankha
688,Shubam
689,VishwaKarma
690,Arshan
691,Kritishman
692,Kirtan
693,Buddhividhata
694,Radhanath
695,Srinit
696,Shameek
697,Aarush
698,Sohom
699,Rajsekar
700,Tirthajit
701,Nived
702,Jyoti
703,Dakshit
704,Viveka
705,Probaldeep
706,Trisal
707,Anindya
708,Gyan
709,Vishwamukha
710,Adinath
711,Monuranjan
712,Newaz
713,Hazrat
714,Adrito
715,Indradip
716,Abba
717,Yogy
718,Bratya
719,Debobrata
720,Palash
721,Kanishta
722,Pradyut
723,Yugenes
724,Nikhil
725,Majidul
726,Bholanath
727,Biswajeeth
728,Sujoy
729,Vanajit
730,Gautama
731,Gajendranath
732,Firoj
733,Nivan
734,Ekanath
735,Deepjoy
736,Krishab
737,Sehan
738,Kriday
739,Devvrata
740,Amritapa
741,Salim
742,Sonai
743,Dipanth
744,Dheirya
745,Zeeshan
746,Paravasu
747,Montush
748,Sibu
749,Arijit
750,Hind
751,Yasin
752,Jiyaan
753,Haydar
754,Pranjali
755,Prahalad
756,Ranajay
757,Towhid
758,Kritesh
759,Xavi
760,Sindhu
761,Balark
762,Biplob
763,Balachandra
764,Puspendu
765,Prabakaran
766,Chahat
767,Faruk
768,Sadad
769,Parthav
770,Reyaansh
771,Poram
772,Sammad
773,Sohel
774,Binutosh
775,Jankesh
776,Didar
777,Tapas
778,Shamil
779,Dhanush
780,Nandun
781,Saunak
782,Shivan
783,Parichoy
784,Shanu
785,Saugat
786,Kiash
787,Sarthok
788,Tumpa
789,Viresh
790,Amitaabh
791,Dwijesh
792,Mustafizur
793,Arindam
794,Sarth
795,Var
796,Nick
797,Aush
798,Sourav
799,Garry
800,Rijwan
801,Ahian
802,Hemal
803,Kadamb
804,Masudur
805,Krishnadas
806,Ajeet
807,Gagan
808,Kashama
809,Gautam
810,Jagachandra
811,Bishwajeet
812,Uttar
813,Parakram
814,Deepu
815,Harasit
816,Cabir
817,DeveePrasad
818,Sazim
819,Bipak
820,Baisakh
821,Yudhistir
822,Vighneswar
823,Pradyumna
824,Dwipan
825,Asgar
826,Tshering
827,Ramswaroop
828,Hosen
829,Nareswar
830,Ayann
831,Kritwik
832,Devanshu
833,Sahan
834,Udit
835,Paavak
836,Abhik
837,Saroban
838,Chirayu
839,Biswam
840,Promoth
841,Ulagan
842,Sapan
843,Murugu
844,Mohit
845,Aran
846,Deendyal
847,Kushagra
848,Riju
849,Souvik
850,Titir
851,Sarbesh
852,Nayandip
853,Pabitra
854,Piyash
855,Gnan
856,Safiul
857,Kaif
858,Biren
859,Brajesh
860,Lakshmipati
861,Omkaraa
862,Santanu
863,Krishanu
864,Sonil
865,Oojwal
866,Sabiran
867,Bitupon
868,Umaprasad
869,Nathan
870,Pradeepto
871,Sadhu
872,Meet
873,Dhurjati
874,Deenadayaal
875,Palak
876,Nithyananda
877,Rushanth
878,Kibria
879,Bijay
880,Khian
881,Monosij
882,Mano
883,Manik
884,Malli
885,Bokkor
886,Nilkamal
887,Kotijit
888,Roshick
889,Sakash
890,Bhushan
891,Avigyan
892,Chandraanan
893,Bishoy
894,Viranath
895,Rajgopal
896,Rasha
897,Pushpendra
898,Jataayu
899,Makut
900,Lekhon
901,Vrajakishore
902,Laksh
903,Tejash
904,Veni
905,Subban
906,Ali
907,Satish
908,Chattu
909,Aryaneel
910,Bisu
911,Debaki
912,Abneesh
913,Bijeet
914,Esrafil
915,Talank
916,Satyam
917,Indrashish
918,Saranya
919,Gourob
920,Suvidh
921,Binod
922,Ragov
923,Khyatikar
924,Ushmey
925,Ritav
926,Tanu
927,Bhargob
928,Bichittra
929,Ponkoj
930,Parashmoni
931,Arnodeep
932,Pusan
933,Vedatmane
934,Deyaan
935,Gupi
936,Hare
937,Rocket
938,Arjan
939,Naval
940,Indumal
941,Chandana
942,Rituraj
943,Debdas
944,Champak
945,Moharaj
946,Deepankar
947,Soorya
948,Ayman
949,Debamrit
950,Hritam
951,Zisan
952,Naakesh
953,Rituparan
954,Ramanuj
955,Tahmid
956,Mafi
957,Dipesh
958,Ikshu
959,Hiranmaya
960,Ditya
961,Vajrakaya
962,Rajshekar
963,Bijita
964,Samya
965,Abinay
966,Nalin
967,Debasis
968,Proyash
969,Raunak
970,Chhottu
971,Devnath
972,Naag
973,Anku
974,Subir
975,Bappaditya
976,Krishnava
977,Maniram
978,Bidyeswar
979,Mehraz
980,Iniyan
981,Ssnjoy
982,Mahmood
983,Chahit
984,Chandra
985,Poyyamoli
986,Ramdulal
987,Swaksh
988,Kalu
989,Saagar
990,Bandhana
991,Indrakanta
992,Benoy
993,Sanika
994,Avijan
995,Utsho
996,Gagnesh
997,Paritran
998,Jakir
999,Ullas
1000,Bishnudev
1001,Tamonash
1002,Barshik
1003,Vijayakumar
1004,Kashinadh
1005,Vignesh
1006,Barek
1007,Ruhan
1008,Devant
1009,Varadraj
1010,Koustav
1011,Ramprosad
1012,Taksheel
1013,Ritabrata
1014,Alamgir
1015,Bhrigu
1016,Ravindranath
1017,Vishatan
1018,Bibesh
1019,Udumban
1020,Lisha
1021,Aditiya
1022,Kiron
1023,Badsha
1024,Sadavir
1025,Qaushiq
1026,Astam
1027,Kaiyum
1028,Niloy
1029,Gunith
1030,Anupal
1031,Gulam
1032,Biswonath
1033,Kaval
1034,Rangarajan
1035,Jadin
1036,Adityaa
1037,Tirash
1038,Silhad
1039,Lalu
1040,Irumporai
1041,Purosottam
1042,Arindom
1043,Somu
1044,Dhannu
1045,Pruthiraj
1046,Tamojit
1047,Pran
1048,Rasel
1049,Hariom
1050,Aurvin
1051,Debarchan
1052,Rakshan
1053,Maukthikeshwar
1054,Meghnad
1055,Zafrul
1056,Saaras
1057,Kalpajeet
1058,Prodipto
1059,Darpan
1060,Patoj
1061,Johan
1062,Mohesh
1063,Alekhya
1064,Geetanshu
1065,Anant
1066,Mukul
1067,Nasir
1068,Shahab
1069,Dhruvpad
1070,Ekalavya
1071,Aahaan
1072,Bhola
1073,Makunda
1074,Satyoki
1075,Bithin
1076,Manirul
1077,Avishar
1078,Naboneel
1079,Madhvan
1080,Proloy
1081,Puranjoy
1082,Harsith
1083,Dindayal
1084,Sa
1085,Robindra
1086,Munna
1087,Kushendra
1088,Ralasian
1089,Uthpal
1090,Tasnim
1091,Nilkantho
1092,Chiranjeeb
1093,Jyotirdhar
1094,Manogya
1095,Priyam
1096,Gurdeep
1097,Rajeeb
1098,Yadab
1099,Mahakaya
1100,Papu
1101,Rishad
1102,Tapobrata
1103,Bimalendu
1104,Mahadeb
1105,Banti
1106,Arunavo
1107,Samar
1108,Javed
1109,Sakib
1110,Deepan
1111,Ulhas
1112,Prosanto
1113,Rasmikanta
1114,Sinjan
1115,Niraj
1116,Sri
1117,Bidyut
1118,Kiraat
1119,Zain
1120,Liyan
1121,Yaalvendan
1122,Madhukanta
1123,Jaikrishna
1124,Isar
1125,Jaynta
1126,Shmeet
1127,Virat
1128,Tuvijat
1129,Bauddhayan
1130,Ajar
1131,Dwarakadas
1132,Santosh
1133,Devam
1134,Satyaki
1135,Dibyanker
1136,Sambit
1137,Bhulo
1138,Jai
1139,Sekar
1140,Hridoy
1141,Ravikanth
1142,BadiuzZaman
1143,Pritom
1144,Devaa
1145,Priyankan
1146,Utpal
1147,Satpati
1148,Dipendu
1149,Lijeesh
1150,Lucky
1151,Bardhan
1152,Emran
1153,Shovan
1154,Sudeva
1155,Phanish
1156,Vaybhav
1157,Walid
1158,Avidan
1159,Nayon
1160,Pavan
1161,Pranit
1162,Iyush
1163,Dilip
1164,Kaushik
1165,Debratan
1166,Ramya
1167,Rabeen
1168,Mandip
1169,Abhoy
1170,Pratim
1171,Indra
1172,Rishaan
1173,Moralidhar
1174,Mushu
1175,Sanjit
1176,Bibekanand
1177,Parasuram
1178,Gian
1179,Soumit
1180,Ovijit
1181,Sharjil
1182,Diganto
1183,Bihuram
1184,Ridip
1185,Prodyut
1186,Taneesh
1187,Mohan
1188,Raynaak
1189,Perumaan
1190,Jidan
1191,Kandarie
1192,Sreyan
1193,Slock
1194,Mriganka
1195,Ismail
1196,Sumid
1197,Manmohan
1198,Proshonjit
1199,Arnab
1200,Armeen
1201,Prabuddha
1202,Nitya
1203,Sounik
1204,Digambar
1205,Omitabho
1206,Puneeth
1207,Ravinder
1208,Garg
1209,Rahan
1210,Saswato
1211,Ushakanth
1212,Devan
1213,Namrit
1214,Kumbh
1215,Diptash
1216,Bheem
1217,Rafiza
1218,Veera
1219,Ramim
1220,Tulip
1221,Ovi
1222,Chaaruchandra
1223,Ujjwal
1224,Sovan
1225,Vishvahetu
1226,Addrish
1227,Parakh
1228,Pramit
1229,Dharanidhar
1230,Karnav
1231,Nigam
1232,Sajit
1233,Sayed
1234,Prujvall
1235,Balaraj
1236,Kanchan
1237,Amrito
1238,Dibyendu
1239,Adrik
1240,Ramu
1241,Apratim
1242,Swabhu
1243,Vighnaraja
1244,Ashwanth
1245,Chandru
1246,Rusheek
1247,Janamejay
1248,Devdoot
1249,Navneet
1250,Praneet
1251,Priyajit
1252,Kashi
1253,Samiron
1254,Krihans
1255,Azmain
1256,Sagnick
1257,Malav
1258,Nanda
1259,Ahillan
1260,Naimuddin
1261,Hary
1262,Tulsy
1263,Rabith
1264,Sameen
1265,Vitola
1266,Paritosh
1267,Adnan
1268,Arikit
1269,Dharmachandra
1270,Anibrata
1271,Deevyam
1272,Sadhil
1273,Pinak
1274,Sauvik
1275,Binay
1276,Vivek
1277,Kinshuk
1278,Karttik
1279,Uttam
1280,Anukul
1281,Ahad
1282,Jagadeep
1283,Nivaan
1284,Sazed
1285,Pritthish
1286,Tonmay
1287,Japesh
1288,Siban
1289,Sattwik
1290,Reth
1291,Rajnil
1292,Nisit
1293,Nischay
1294,Pal
1295,Tony
1296,Obalesh
1297,Manavotham
1298,Tejosh
1299,Rajanikanta
1300,Adhik
1301,Maheshwaram
1302,Shaown
1303,Lakshmikant
1304,Shakeel
1305,Maladhar
1306,Aaryan
1307,Nadin
1308,Brojo
1309,Som
1310,Dhwani
1311,Raheel
1312,Shibdas
1313,Vishwadev
1314,Vedarsh
1315,Jivangsh
1316,Ritayan
1317,Sorosh
1318,Avijeet
1319,Adham
1320,Prannoy
1321,Dheeman
1322,Ayaan
1323,Monjur
1324,Mahanidhi
1325,Ritik
1326,Kysar
1327,Satik
1328,Vijayendra
1329,Surya
1330,Tarique
1331,Bubun
1332,Robiul
1333,Saibal
1334,Taimur
1335,Biswojit
1336,Debanshu
1337,Asmith
1338,Satwik
1339,Pachaimuthu
1340,Martin
1341,Ramen
1342,Dhyaneshwar
1343,Kalam
1344,Purshotham
1345,Bisikesana
1346,Sandeep
1347,Krish
1348,Vidal
1349,Ravikumar
1350,Khushiram
1351,Sajim
1352,Balbant
1353,Riad
1354,Gambheer
1355,Dhun
1356,Yashaswi
1357,Herambwa
1358,Nandesh
1359,Subho
1360,Swapan
1361,Devadeva
1362,Mandhata
1363,Debidatta
1364,Debaloy
1365,Tilok
1366,Chandrabhan
1367,Ratam
1368,Yadav
1369,Madhava
1370,Devyansh
1371,Shaurav
1372,Samiul
1373,Hadis
1374,Sourik
1375,Fani
1376,Sudeep
1377,Nisikanta
1378,Rudranil
1379,Swarit
1380,Gauraw
1381,Masrif
1382,Atithi
1383,Sudir
1384,Sampad
1385,Dhirendro
1386,Asir
1387,Daivya
1388,Himadri
1389,Avaneet
1390,Harinaath
1391,Bishes
1392,Rohal
1393,Alekh
1394,Oppilan
1395,Rivan
1396,Maidul
1397,Rasool
1398,Skanda
1399,Jagatprakash
1400,Pranasis
1401,Bishwaji
1402,Vimol
1403,Shatish
1404,Monindra
1405,Minaj
1406,Partab
1407,Praosanjit
1408,Abhajit
1409,Joyjit
1410,Ranajoy
1411,Evan
1412,Farib
1413,Sukalp
1414,Ritupon
1415,Debkant
1416,Baladhitya
1417,Ibhya
1418,Swayam
1419,Debnath
1420,Nibir
1421,Hemraj
1422,Sabbir
1423,Auritro
1424,Rajan
1425,Balraj
1426,Yogen
1427,Galib
1428,Antish
1429,Athrav
1430,Naleen
1431,Preetum
1432,Kanish
1433,Sayf
1434,Afroz
1435,Prashan
1436,Deep
1437,Miah
1438,Vasuki
1439,Aryaraj
1440,Debidas
1441,Mahanth
1442,Jagdeep
1443,Aghat
1444,Benoybhusan
1445,Rayn
1446,Muqtadir
1447,Pushp
1448,Masroor
1449,Ilesh
1450,Manov
1451,Prabhas
1452,Doyel
1453,RajaPandian
1454,Devang
1455,Amol
1456,Mahaj
1457,Debjit
1458,Kanav
1459,Pijush
1460,Tarif
1461,Velan
1462,Shibaji
1463,Mohitosh
1464,Ranjit
1465,Soudip
1466,Neelesh
1467,Nirat
1468,Mohadev
1469,Aiyaan
1470,Aharshi
1471,Rudaransh
1472,Sanka
1473,Rithik
1474,Rheedhum
1475,Indukant
1476,Rupal
1477,Debadatta
1478,Tanim
1479,Rokibul
1480,Koustab
1481,Chandraditya
1482,Ekambar
1483,Paratpara
1484,Tamal
1485,Vijan
1486,Kulik
1487,Asok
1488,Tanoy
1489,Joyprakash
1490,Ramesh
1491,Antesh
1492,Sanjeb
1493,Santano
1494,Ujaan
1495,Tarachandra
1496,Nutan
1497,Aneek
1498,Vilas
1499,Deewan
1500,Kunal
1501,Reyansh
1502,Harmendra
1503,Sadid
1504,Jothirmoy
1505,Bankim
1506,Soumil
1507,Rangan
1508,Tiger
1509,Ritam
1510,Dasarathi
1511,Bishakh
1512,Jeeval
1513,Zitu
1514,Suta
1515,Sarjul
1516,Ushan
1517,Priyank
1518,Ghanashyam
1519,Manhar
1520,Rajender
1521,Nridev
1522,Shelly
1523,Shan
1524,Subhan
1525,Yaduraj
1526,Sajal
1527,Abhilash
1528,Kanan
1529,Aavan
1530,Bhagyajit
1531,Keilash
1532,Krishnadhan
1533,Dhanesh
1534,Soumak
1535,Safi
1536,Megha
1537,Guru
1538,Dipedra
1539,Debaneel
1540,Kshitidhar
1541,Trijosh
1542,Debobrato
1543,Visvesh
1544,Adif
1545,Patag
1546,Rankit
1547,Jogesh
1548,Pramod
1549,Abhitaj
1550,Madhvendra
1551,Kandan
1552,Seya
1553,Abhiroop
1554,Birendra
1555,Zabed
1556,Biswo
1557,Dinabandhu
1558,Mounik
1559,Rajdeep
1560,Mitin
1561,Champavati
1562,Lalchand
1563,Debargho
1564,Anand
1565,Rajeen
1566,Hitendra
1567,Vishwajeet
1568,Vishwajit
1569,Dhanraj
1570,Barin
1571,Noton
1572,Prosanjeet
1573,Devanesan
1574,Praloy
1575,Debodrita
1576,Debarghaya
1577,Padmaj
1578,Vairamuthu
1579,Gourishankar
1580,Anirudha
1581,Fahad
1582,Devavrata
1583,Jony
1584,Saraj
1585,Meghan
1586,Varoun
