,male
1587,Hrudaya
1588,Viksar
1589,Sivom
1590,Dayaram
1591,Aashish
1592,Amitava
1593,Rajun
1594,Aradhak
1595,Visvajit
1596,Adrij
1597,Rupam
1598,Alpesh
1599,Hiyaan
1600,Jahan
1601,Mitaksh
1602,Kalim
1603,Prithwi
1604,Riyad
1605,Mayank
1606,Saimon
1607,Bhubesh
1608,Aditeya
1609,Dayalu
1610,Shaon
1611,Khelan
1612,Umesh
1613,Aniv
1614,Ranbijay
1615,Krisnendu
1616,Har
1617,Rupak
1618,Sonak
1619,Sourab
1620,Ambikesh
1621,Gunanidhi
1622,Jahed
1623,Pabok
1624,Jansu
1625,Kulodip
1626,Minar
1627,Sasvata
1628,Shatesh
1629,Leekhit
1630,Nedumaan
1631,Keshab
1632,Shabin
1633,Elavarasan
1634,Bhargva
1635,Karunanidhan
1636,Asim
1637,Sarveen
1638,Sarwesh
1639,Senajit
1640,Naksha
1641,Munindra
1642,Manomoy
1643,Sriyon
1644,Biswamitra
1645,Chandranil
1646,Murugan
1647,Damian
1648,Nachiketa
1649,Venimadhav
1650,Aayaan
1651,Kanaram
1652,Apoorva
1653,Rupok
1654,Javan
1655,Haridhan
1656,Bhuvanpati
1657,Wafi
1658,Azar
1659,Rono
1660,Saurav
1661,Vyomang
1662,Arhant
1663,Barnak
1664,Turjo
1665,Bhadrang
1666,Manonith
1667,Zico
1668,Bidyot
1669,Krishna
1670,Akshaya
1671,Priom
1672,Rutwik
1673,Azwad
1674,Jayendra
1675,Maruf
1676,Bikash
1677,Alamin
1678,Vrajesh
1679,Dev-rudran
1680,Aadrij
1681,Rishita
1682,Nondon
1683,Advait
1684,Srinu
1685,Abhira
1686,Toufik
1687,Aarav
1688,Parthib
1689,Gajendra
1690,Parthiv
1691,Sharat
1692,Avinash
1693,Pushkar
1694,Proshanto
1695,Nuthan
1696,Bhagyadhar
1697,Zawad
1698,Udaybhan
1699,Otsinto
1700,Jayanand
1701,Pramsu
1702,Rewan
1703,Monoj
1704,Sattar
1705,Aadvik
1706,Dibyadyuti
1707,Binoba
1708,Oscar
1709,Annottam
1710,Mohamed
1711,Charlie
1712,Kalpak
1713,Sanjib
1714,Monowar
1715,Jihad
1716,Agneya
1717,Bappa
1718,Promod
1719,Himangshu
1720,Khushnaseeb
1721,Dwarka-Nath
1722,Ashman
1723,Prassanta
1724,Musafir
1725,Yoganand
1726,Bhojraj
1727,Yajwin
1728,Soukat
1729,Mangesh
1730,Dineswar
1731,Probhakor
1732,Nazir
1733,Raae
1734,Nagaraj
1735,Rudra
1736,Gadhar
1737,Natesh
1738,Posanto
1739,Mitu
1740,Ekayavan
1741,Mohir
1742,NandNandan
1743,Pradip
1744,Hritabrata
1745,Biharilal
1746,Mahzuz
1747,Patanjali
1748,Jagadish
1749,Madhup
1750,Lohitha
1751,Nissim
1752,Dharmi
1753,Shakib
1754,Dayamay
1755,Ved
1756,Khyatish
1757,Nitish
1758,Dharmanand
1759,Srijay
1760,Shalom
1761,Dishan
1762,Darsan
1763,Prantosh
1764,Bahar
1765,Saumen
1766,Bibhuta
1767,Ashish
1768,Phaninath
1769,Vedmohan
1770,Kirin
1771,Bipro
1772,Nrishingha
1773,Riyom
1774,Charuvardhana
1775,Aneal
1776,Hritesh
1777,Benu
1778,Sorya
1779,Denes
1780,Devdulal
1781,Kuvar
1782,Ananta
1783,Risabh
1784,Sunil
1785,Yagnakaya
1786,Shehjad
1787,Rahman
1788,Amiya
1789,Shadat
1790,Bhubnesh
1791,Nabodit
1792,Prottoy
1793,Hridaya
1794,Prithvijit
1795,Barnav
1796,Hridayanshu
1797,Manabendra
1798,Pritish
1799,Arinjoy
1800,Vedaant
1801,Hridayanand
1802,Souniv
1803,Gulsan
1804,Viamrsh
1805,Sattvik
1806,Gajavakra
1807,Pradipto
1808,Timiranshu
1809,Bapi
1810,Talha
1811,Mukulesh
1812,Bhoopendra
1813,Isaiarasu
1814,Bansy
1815,Ayyash
1816,Dian
1817,Biddut
1818,Priyotosh
1819,Reihan
1820,Milan
1821,Rabiram
1822,Nill
1823,Rahnuma
1824,Joywanta
1825,Bisweswar
1826,Prayag
1827,Tara
1828,Indrasish
1829,Sharu
1830,Sankha
1831,Mahibul
1832,Saubhik
1833,Ishtiaq
1834,Mashook
1835,Mahian
1836,Mahiteja
1837,Mafijuddin
1838,Durmada
1839,Santana
1840,Manvit
1841,RaviShankar
1842,Pareshnath
1843,Barnabh
1844,Tapabrata
1845,Vibhusnu
1846,Sahev
1847,Devilal
1848,Vaydeesh
1849,Solok
1850,Mehtab
1851,Biswajit
1852,Arghayan
1853,Padm
1854,Sawraj
1855,Utkarsha
1856,Vignaharta
1857,Vatsa
1858,Kowsiq
1859,Ujwal
1860,Aintik
1861,Aayudh
1862,Aadin
1863,Jiteish
1864,Bishun
1865,Sanam
1866,Swami
1867,Devaansh
1868,Debshankar
1869,Dayakar
1870,Barnab
1871,Bidhan
1872,Gangeya
1873,Suboth
1874,Chaitan
1875,Sohn
1876,Aavik
1877,Balfour
1878,Mahfuz
1879,Sheil
1880,Manmoy
1881,Chandradev
1882,Avidip
1883,Maeen
1884,Gunayukth
1885,Vaasu
1886,Prem
1887,Rishiv
1888,Logar
1889,Nishikant
1890,Nillohit
1891,Prajat
1892,Agasthya
1893,Udayshankar
1894,Saranan
1895,Tathagato
1896,Debandra
1897,Shamol
1898,Avnish
1899,Debshlok
1900,Adil
1901,Suklab
1902,Bikhyat
1903,Mihan
1904,Soumay
1905,Neil
1906,Sidhu
1907,Naksh
1908,Yudhisthir
1909,Dhruva
1910,Sanmay
1911,Achinta
1912,Kayvalya
1913,Shivek
1914,Rahat
1915,Harit
1916,Hiren
1917,Deveedaas
1918,Tarasankar
1919,Rabiul
1920,Avian
1921,Vairaj
1922,Toyesh
1923,Dipanjan
1924,Samajit
1925,Dakshi
1926,Ripu
1927,Firoz
1928,Kana
1929,Dilljaan
1930,Zahed
1931,Bilash
1932,Kishalay
1933,Murad
1934,Gaurav
1935,Braj
1936,Subal
1937,Laniban
1938,Promotha
1939,Suhas
1940,Rupeswer
1941,Andalib
1942,Ronojit
1943,Manotosh
1944,Biman
1945,Sehjad
1946,Manasij
1947,Nahiyan
1948,Susen
1949,Shahil
1950,Noman
1951,Ghanasham
1952,Kotesh
1953,Dipchand
1954,Tunir
1955,Jivan
1956,Debakar
1957,Nitiesh
1958,Risha
1959,Sudeb
1960,Kandarpa
1961,Dehabhuj
1962,Depen
1963,Bandan
1964,Bibhas
1965,Sajib
1966,Pulok
1967,Jevan
1968,Tanuj
1969,Jagger
1970,Ayog
1971,Trideep
1972,Sagar
1973,Arbindo
1974,Gaurang
1975,Hakim
1976,Padminish
1977,Sawan
1978,Nuzhat
1979,Ashrith
1980,Karna
1981,Avadhesh
1982,Dinar
1983,Nilsagar
1984,Mark
1985,Jinku
1986,Shivu
1987,Debankan
1988,Tanwesh
1989,Tarapada
1990,Sartik
1991,Dushyanta
1992,Prokas
1993,Suphal
1994,Dishen
1995,Samraat
1996,Ishan
1997,Arthin
1998,Savar
1999,Atmanan
2000,Shivom
2001,Runit
2002,Nazmul
2003,Daakshit
2004,Dayasankar
2005,Devajuta
2006,Tamajit
2007,Shiwin
2008,Shri
2009,Kirtikumar
2010,Ashif
2011,Deepith
2012,Sudham
2013,DinoBandhu
2014,Ethan
2015,Muntaqim
2016,Brundaban
2017,Mrityunjoy
2018,Aalok
2019,Haridutt
2020,Radib
2021,Jaskaran
2022,Ahnan
2023,Raghumoni
2024,Reeyansh
2025,Ayan
2026,Manjul
2027,Parmananda
2028,Asmit
2029,Brahmabrata
2030,Qurashim
2031,Roshan
2032,Kousik
2033,Chunmay
2034,Uddalak
2035,Devansh
2036,Parasmani
2037,Chandu
2038,Yashwin
2039,Nafees
2040,Abdulla
2041,Adrish
2042,Nehal
2043,Rocky
2044,Nisan
2045,Gannaath
2046,Gorav
2047,Kalapriya
2048,Parnob
2049,Sudin
2050,Goutom
2051,Hirendra
2052,Pascal
2053,Sankul
2054,Sekhar
2055,Vikramin
2056,Tula
2057,Aavyan
2058,Govardhan
2059,Kavi
2060,Tashid
2061,Vinoba
2062,Atif
2063,Dwarkadhish
2064,Upayan
2065,Shudho
2066,Adway
2067,Yasti
2068,Joni
2069,Dhilan
2070,Shuvo
2071,Bishan
2072,Mayukh
2073,Rajdwip
2074,Rehaan
2075,Atharv
2076,Vasanth
2077,Dalapathi
2078,Abha
2079,Aarhan
2080,Madhumoy
2081,Ganpati
2082,Rakibul
2083,Manodip
2084,Udaya
2085,Panna
2086,Hara
2087,Virurch
2088,Hrishab
2089,Premanand
2090,Azad
2091,Omio
2092,Arfan
2093,Rihan
2094,Naya
2095,Tehan
2096,Aadijoy
2097,Maandhata
2098,Divyaanshu
2099,Namasya
2100,Anubis
2101,Sandhi
2102,Bhanuprasad
2103,Pritam
2104,ChandraKishore
2105,Sonik
2106,Ayus
2107,Jhintu
2108,Lalit
2109,Kamalanayan
2110,Jishnu
2111,Gotham
2112,Mahiyan
2113,Rahi
2114,Said
2115,Priam
2116,Ronok
2117,Vanij
2118,Saeed
2119,Vaskar
2120,Shosti
2121,Dhanjit
2122,Naik
2123,Mintu
2124,Iyaas
2125,Biswambhar
2126,Kripasindhu
2127,Madhukar
2128,Sahab
2129,Milind
2130,Rajendra
2131,Ijan
2132,Aaradhak
2133,Menachem
2134,Aitijo
2135,Payod
2136,Gagandeep
2137,Nitu
2138,Jivaj
2139,Bhubaneswar
2140,Sayonno
2141,Saadvik
2142,Dewakar
2143,Hamim
2144,Utpall
2145,Devranjan
2146,Bhoorishav
2147,Jyotirindra
2148,Tonni
2149,Debapriya
2150,Farhad
2151,Rudresh
2152,Ruslan
2153,Mukund
2154,Agradeep
2155,Chetananand
2156,Sailaj
2157,Milaan
2158,Kamik
2159,Ishwor
2160,Arkadip
2161,Malaravan
2162,Janakidas
2163,Taposh
2164,Maagh
2165,Srayan
2166,Devdarsh
2167,Tishan
2168,Araneri
2169,Bhabtosh
2170,Souris
2171,Sasanka
2172,Arhit
2173,Aswin
2174,Arojit
2175,Sujeet
2176,Inder
2177,Suhaan
2178,Shai
2179,Chaman
2180,Vansh
2181,Satyen
2182,Aarjya
2183,Suprio
2184,Aahlaad
2185,Prasun
2186,Rana
2187,Zakir
2188,Jisan
2189,Arghadip
2190,Dipjit
2191,Anuj
2192,Kritarth
2193,Hukum
2194,Bhavani
2195,Karun
2196,Rojoni
2197,Rudradeep
2198,Star
2199,Amrutha
2200,Prajalit
2201,Gold
2202,Trumbak
2203,Divyanshu
2204,Bhaskar
2205,Naushad
2206,Soukit
2207,Kunjon
2208,Aiman
2209,Dilzer
2210,Sadchit
2211,Anvik
2212,Saketh
2213,Dishaan
2214,Chaten
2215,Naman
2216,Rohit
2217,Tanumay
2218,Manou
2219,Ajitabh
2220,Debottam
2221,Raghubir
2222,Jayanta
2223,Chinmayu
2224,Abrar
2225,Siyam
2226,Vishram
2227,Ashik
2228,Kailashnath
2229,Jibanmoy
2230,Veeraj
2231,Suhrid
2232,Basu
2233,Baru
2234,Ardhi
2235,Ganendra
2236,Nitin
2237,Viranth
2238,Chhailbehari
2239,Nandan
2240,Rithva
2241,Vandeet
2242,Kishanu
2243,Piyush
2244,Alokendu
2245,Nabonil
2246,Kuldev
2247,Indubhushan
2248,Ahindra
2249,Asif
2250,Prashid
2251,Agantuk
2252,Tulshi
2253,Sibash
2254,Saugata
2255,Shahbur
2256,Sovraj
2257,Vallabh
2258,Gurnam
2259,Samad
2260,Asirbad
2261,Afridi
2262,Ijay
2263,Biswadeb
2264,Gajbahu
2265,Debendranath
2266,Ojjal
2267,Badij
2268,Sujon
2269,Nadish
2270,Rounak
2271,Debjyoti
2272,Ekadanta
2273,Mati
2274,Keshva
2275,Amon
2276,Nabadeep
2277,Aadrit
2278,Rikin
2279,Manob
2280,Ritraj
2281,Prayan
2282,Mridul
2283,Prosenjit
2284,Gorang
2285,Achyuth
2286,Mahir
2287,Taouf
2288,Ashvath
2289,Shusil
2290,Vedivelu
2291,Suhad
2292,Ranbir
2293,Kaunish
2294,Tandeep
2295,Nimit
2296,Hiranya
2297,Asheesh
2298,Rhudai
2299,Chandragupt
2300,Subha
2301,Avatar
2302,Bibhabasu
2303,Jahar
2304,Naaksh
2305,Jaganarayan
2306,Meran
2307,Kailash
2308,Naitosh
2309,Dhrubo
2310,Pavel
2311,Sathish
2312,Jafor
2313,Roopendra
2314,Manuj
2315,Sagnik
2316,Rangalal
2317,Prabeen
2318,Roja
2319,Jyotirmay
2320,Jatya
2321,Nazib
2322,Ariyaan
2323,Akshay
2324,Raghu
2325,Vasant
2326,Sohail
2327,Nowfal
2328,Debagni
2329,Nithin
2330,Indroneel
2331,Navtesh
2332,Binoy
2333,Palanisami
2334,Hiten
2335,Sahir
2336,Indrayan
2337,Hamza
2338,Basanto
2339,Ramakrishna
2340,Asuman
2341,Falguny
2342,Mono
2343,Manikkam
2344,Swarn
2345,Bablu
2346,Vipul
2347,Jyotiranjan
2348,Monish
2349,Ehan
2350,Purushottam
2351,Jahi
2352,Mukunda
2353,Gunnath
2354,Gyandeep
2355,Protick
2356,Mehebub
2357,Japan
2358,Prohlad
2359,Nandit
2360,Vishwanath
2361,Kajal
2362,Udyan
2363,Digbijaya
2364,Mithu
2365,Vishaalaaksh
2366,Oishik
2367,Nabakumar
2368,Thiru
2369,Ronak
2370,Bicky
2371,Rashmi
2372,Shahana
2373,Depanjan
2374,Biswabasu
2375,Bisojit
2376,Sritom
2377,Zonai
2378,Dipok
2379,Khagesh
2380,Lokanetra
2381,Rangandeep
2382,Saion
2383,Arnav
2384,Bipra
2385,Mithun
2386,Amit
2387,Kirtiman
2388,Tirthayad
2389,Chironjit
2390,Rishabh
2391,Vaibav
2392,Barun
2393,Sunon
2394,Sriyan
2395,Somdev
2396,Trianshu
2397,Saumit
2398,Avadh
2399,Tushaar
2400,Hossain
2401,Mamun
2402,Shubho
2403,Nir
2404,Hrid
2405,Rakibur
2406,Shumon
2407,Manabesh
2408,Dhwanit
2409,Rohin
2410,Priyom
2411,Samiran
2412,Shifat
2413,Navroz
2414,Risav
2415,Manmath
2416,Shahir
2417,Ilancheliyan
2418,Probhat
2419,Sib
2420,Dobir
2421,Eahsan
2422,Shaajib
2423,Purba
2424,Hridayesh
2425,Devguru
2426,Debobrota
2427,Jaykishan
2428,Souran
2429,Anannya
2430,Nandakishor
2431,Makhesh
2432,Bhoothanathan
2433,Avani
2434,Gunwant
2435,Phelan
2436,Biprodeep
2437,Alan
2438,Bhagirath
2439,Sannik
2440,Vimalesh
2441,Mashud
2442,Gaveshan
2443,Sravan
2444,Anamul
2445,Firojul
2446,Rahit
2447,Baudha
2448,Hafiz
2449,Litan
2450,Sahityo
2451,Arunava
2452,Dabbu
2453,Khrisalaya
2454,Gowshik
2455,Boken
2456,Arkya
2457,Diyan
2458,Ramnath
2459,Kalayani
2460,Dipto
2461,Tirumula
2462,Hanuman
2463,Prosanjit
2464,Kamalkant
2465,Antu
2466,Ripon
2467,Kanak
2468,Maheshwar
2469,Budheswar
2470,Vipan
2471,Wazed
2472,Shajib
2473,Harry
2474,Jahangir
2475,Abhijeet
2476,Jashwik
2477,Noam
2478,Trishulank
2479,Zohan
2480,Ilashpasti
2481,Kallol
2482,Mitesh
2483,Adittya
2484,Shohan
2485,Manikant
2486,Ishita
2487,Dulal
2488,Ziyaad
2489,Subit
2490,Sanmoy
2491,Mahbub
2492,Rajit
2493,Nirmol
2494,Sadvik
2495,Abram
2496,Abhay
2497,Bhulu
2498,Yuyutsu
2499,Aahil
2500,Bimanesh
2501,Shom
2502,Boloram
2503,Pragay
2504,Omeshwar
2505,Acharya
2506,Netrananda
2507,Trisanjit
2508,Arifin
2509,Unnat
2510,Somrup
2511,Hrishitaa
2512,Arka
2513,Roshmith
2514,Haradhan
2515,Moloy
2516,Bishworanjan
2517,Megh-Naad
2518,Agnish
2519,Shaad
2520,Vakrabhuj
2521,Nilnov
2522,Bibhavasu
2523,Vishalaksh
2524,Abanish
2525,Rambilas
2526,Hrithick
2527,Pratiti
2528,Dhritiman
2529,Ameer
2530,Utsab
2531,Ronin
2532,Vedanta
2533,Devadyumna
2534,Thavan
2535,Premo
2536,Srihan
2537,Muneendra
2538,Indradhanu
2539,Sajidur
2540,Kalanath
2541,Aadhyatm
2542,Nirmalendu
2543,Vishvaketu
2544,Najrul
2545,Purnam
2546,Shivaa
2547,Rantu
2548,Shavac
2549,Subhag
2550,Babiyah
2551,Aritro
2552,Nizvaan
2553,Nayef
2554,Ajendra
2555,Dakshith
2556,Aranya
2557,Sibesh
2558,Almas
2559,Gul
2560,Ritanshu
2561,Ripunjoy
2562,Karthick
2563,Balveer
2564,Togor
2565,Shayak
2566,Shagar
2567,Ankiit
2568,Kisalay
2569,Matsendra
2570,Debdip
2571,Pau
2572,Rusank
2573,Avikam
2574,Dasharathi
2575,Vinoy
2576,Toyash
2577,Ekapad
2578,Meraj
2579,Hiranmay
2580,Subith
2581,Panchanan
2582,Jaysurya
2583,Sobuj
2584,Juwel
2585,Krittik
2586,Devarsh
2587,Omi
2588,Devnandan
2589,Khitish
2590,Dharmesh
2591,Rafiq
2592,Milap
2593,Jayanka
2594,Laghun
2595,Prabina
2596,Arij
2597,Suresh
2598,Lakhydeep
2599,Nur
2600,Prachetas
2601,Wassiq
2602,Abhayam
2603,Tusher
2604,Shakil
2605,Aarish
2606,Paramdeep
2607,Shazzad
2608,Vasumitr
2609,Debjoy
2610,Debarata
2611,Atim
2612,Deven
2613,Probodh
2614,Srijoy
2615,Pranal
2616,Sasmit
2617,Bidyaraj
2618,Saksham
2619,Nir-Dhar
2620,Devdutt
2621,Drishyan
2622,Gauransh
2623,Meherab
2624,Diptanjan
2625,Anubhab
2626,Samsul
2627,Udayagiri
2628,Bhavanand
2629,Balendranath
2630,Kayval
2631,Sutej
2632,Nawshad
2633,Shagnik
2634,JyothiKiran
2635,Prattush
2636,Ketu
2637,Avik
2638,Kamban
2639,Lakshya
2640,Shafat
2641,Chandan
2642,Bibhore
2643,Rumman
2644,Mahaakshay
2645,Dipom
2646,Navin
2647,Tanjeem
2648,Vishnu
2649,Nakul
2650,Younus
2651,Risad
2652,Balwant
2653,Dhaval
2654,Rayirth
2655,Ustad
2656,Chandrachur
2657,Rishi
2658,Shammya
2659,Udhab
2660,Akshobya
2661,Tuhina
2662,Raiq
2663,Aabhya
2664,Ratannabha
2665,Nabajyoti
2666,Dip
2667,Nahyan
2668,Pranab
2669,Jagath
2670,Kalya
2671,Dwaraka
2672,Bhabajit
2673,Rajen
2674,Dhaneshwar
2675,Sachida
2676,Abhinab
2677,Bhaskor
2678,Sunoy
2679,Rubin
2680,Nishit
2681,Sawon
2682,Vrisini
2683,Bidon
2684,Vaman
2685,Divyendu
2686,Pandurang
2687,Tirthes
2688,Ramcharan
2689,Chandranan
2690,Naruttam
2691,Adikesh
2692,Sizaan
2693,Ganesh
2694,Orlando
2695,Prashanth
2696,Sanav
2697,Dipon
2698,Nilav
2699,Kaviraj
2700,Bhabaniprasad
2701,Jadabray
2702,Khan
2703,Shimu
2704,Siyon
2705,Srivar
2706,Royal
2707,Pranet
2708,Antara
2709,Shamal
2710,Vishwaraja
2711,Vijay
2712,Bishwadeep
2713,Punya
2714,Damon
2715,Jagdish
2716,Prattay
2717,Naru
2718,Rasuraj
2719,Dron
2720,Kushal
2721,Veran
2722,Premansh
2723,Adi
2724,Bargav
2725,Chandraketu
2726,Nasim
2727,Bittu
2728,Indrashis
2729,Deependra
2730,Kumardeep
2731,Hansaraj
2732,Bansidhar
2733,Khusbant
2734,Sajjad
2735,Arghajit
2736,Sonjoy
2737,Omraj
2738,Naaraayan
2739,Anmay
2740,Shadhin
2741,Syam
2742,Jivon
2743,Maadhurya
2744,Faalgun
2745,Udyam
2746,Kalyan
2747,Rafiqul
2748,Aritra
2749,Birju
2750,Deboprasad
2751,Govinda
2752,Rashidul
2753,Trigya
2754,Paresh
2755,Santam
2756,Kavel
2757,Ritesh
2758,Shibli
2759,Zubaer
2760,Manab
2761,Chetan
2762,Anas
2763,Bibash
2764,Suri
2765,Brajamohan
2766,Abul
2767,Soumyo
2768,Gangapada
2769,Mishal
2770,Hurditya
2771,Rudres
2772,Nihash
2773,Bankimchandra
2774,Janya
2775,Chittaranjan
2776,Syama
2777,Anisa
2778,Dipayan
2779,Ritojit
2780,Gobindachandra
2781,Deeptendu
2782,Biswarup
2783,Vinesh
2784,Atishay
2785,Byoma
2786,Nannan
2787,Ankuran
2788,James
2789,Nadeem
2790,Vida
2791,Vastav
2792,Pundalik
2793,Kabilesh
2794,Akshya
2795,Kaisar
2796,Prabesh
2797,Tufan
2798,Basudev
2799,Vendan
2800,Dibyajit
2801,Kartik
2802,Mahendranath
2803,Mokundra
2804,Dileep
2805,Goutham
2806,Vikramajit
2807,Sharmin
2808,Azhar
2809,Rituparno
2810,Nakshatra
2811,Madan
2812,Tejas
2813,Indranil
2814,Rajgopalan
2815,Abdhulla
2816,Uma
2817,Sher
2818,Raja
2819,Varidhvaran
2820,Deepesh
2821,Tirtha
2822,Rabisankar
2823,Sundar
2824,Zaver
2825,Aaditya
2826,Svamin
2827,Himesh
2828,Jotish
2829,Amin
2830,Kapindra
2831,Manu
2832,Dhaneswar
2833,Pratyosh
2834,Aastha
2835,Suneel
2836,Saayan
2837,Nuruzzaman
2838,Mahender
2839,Bipresh
2840,Anookul
2841,Bhanumik
2842,Shafin
2843,Debsena
2844,Bhuvan
2845,Charandas
2846,Priyadarshi
2847,Himanshu
2848,Radheshyam
2849,Shona
2850,Rishit
2851,Rajshekhar
2852,Durgesh
2853,Bhuban
2854,Rupesh
2855,Rachit
2856,Prabhu
2857,Chandavarman
2858,Bishwaroop
2859,Roy
2860,Balachandar
2861,Debkumar
2862,Dwirup
2863,Urvil
2864,Sraban
2865,Dipanker
2866,Gopikanta
2867,Sateesh
2868,Monu
2869,Brijraj
2870,Umesha
2871,Shafqat
2872,Riyaz
2873,Jayad
2874,Sachh
2875,Mijanur
2876,Raghava
2877,Aarul
2878,Ranit
2879,Anikit
2880,Ritobroto
2881,Joyram
2882,Pranto
2883,Purnasish
2884,Nitesh
2885,Biswnath
2886,Vrishabh
2887,Moni
2888,Wasi
2889,Muneet
2890,Adib
2891,Ajad
2892,Mrityunjay
2893,Paramjeet
2894,Ramkrishna
2895,Gurudas
2896,Snehal
2897,Krushal
2898,Subham
2899,Upendranath
2900,Baidyanath
2901,Basil
2902,Yasha
2903,Mukundhan
2904,Parvaz
2905,Charuchandra
2906,Prasanjit
2907,Debasmit
2908,Amitoj
2909,Hrideynshu
2910,Hasan
2911,Manojit
2912,Debdulal
2913,Sanjoy
2914,Monotosh
2915,Vineesh
2916,Chiklu
2917,Probir
2918,Sanmit
2919,Devkumar
2920,Prasath
2921,Maulindu
2922,Prabindra
2923,Anam
2924,Sourbh
2925,Sanabhi
2926,Rudayesh
2927,Hiyan
2928,Chondon
2929,Tariq
2930,Chirodeep
2931,Rupantar
2932,Shankar
2933,Tarunjay
2934,Dharesh
2935,Sunnya
2936,Ritwik
2937,Kishan
2938,Sima
2939,Ranodeep
2940,Akil
2941,Parvez
2942,Srizon
2943,Partap
2944,Nakkeeran
2945,Prohor
2946,Rudraksha
2947,Gaurinath
2948,Kishalaya
2949,Noor
2950,Mahmud
2951,Shaukat
2952,Nadeen
2953,Amitab
2954,Sarwar
2955,Udoy
2956,Jiwan
2957,Muralidhar
2958,Ati
2959,Ekaant
2960,Bhudeb
2961,Jitu
2962,Bhutnath
2963,Vegin
2964,Sudam
2965,Aans
2966,Biddu
2967,Bishajite
2968,Bijaya
2969,Ramakant
2970,Madhughosh
2971,Nirbhay
2972,Pathak
2973,Rashed
2974,Afran
2975,Dibash
2976,Alokesh
2977,Suhel
2978,Jaydan
2979,Sanjeev
2980,Junaid
2981,Bilu
2982,Agniswar
2983,Muthuram
2984,Ramash
2985,Vibhu
2986,Praneel
2987,Sanjiba
2988,Isha
2989,Agniva
2990,Mousam
2991,Elilendhi
2992,Nihan
2993,Samit
2994,Dabashish
2995,Upendra
2996,Kritick
2997,Sifat
2998,Pronobesh
2999,Orup
3000,Bappi
3001,Devjit
3002,Chirag
3003,Manohar
3004,Prithijit
3005,Birojit
3006,Aharsi
3007,Taranga
3008,Roneet
3009,Amir
3010,Vyom
3011,Raz
3012,Muktananda
3013,Zuhair
3014,Aviroop
3015,Miraz
3016,Maharsi
3017,Madhusudan
3018,Pratyush
3019,Ashit
3020,Rajas
3021,Hitu
3022,Adiran
3023,Jalal
3024,Arindol
3025,Baikuntha
3026,Roni
3027,Rudro
3028,Jyotish
3029,Uthaman
3030,Jagjeevan
3031,Ravi
3032,Vidyavaridhi
3033,Jakarious
3034,Aditi
3035,Devrupam
3036,Srehan
3037,Ramona
3038,Borak
3039,Ansu
3040,Mohon
3041,Mehaboob
3042,Sraman
3043,Donny
3044,Pawan
3045,Sankhya
3046,Saheel
3047,Dayamoy
3048,Fattah
3049,Niteesh
3050,Ayash
3051,Tahseen
3052,Binodray
3053,Nivesh
3054,Kallyan
3055,Kalpendu
3056,Fezan
3057,Devdas
3058,David
3059,Zayeef
3060,Saleem
3061,Mohadeb
3062,Jeevaraaj
3063,Pijutosh
3064,Prabhudutta
3065,Premanshu
3066,Chiranjeev
3067,Uttal
3068,Debnarayan
3069,Jag
3070,Nanjundewsar
3071,Bilal
3072,Nafiz
3073,Nizvan
3074,Farhana
3075,Debasish
3076,Hamidur
3077,Badinj
3078,Mandar
3079,Mahishmat
3080,Baizid
3081,Viplav
3082,Abaan
3083,Joydip
